stem,domain,cell,s,g,y,judge
stem_0016,ml,HL,1,0,8.336027558460955,microsoft/Phi-3.5-mini-instruct
stem_0016,ml,HH,1,1,8.963837328284171,microsoft/Phi-3.5-mini-instruct
stem_0017,ml,LL,0,0,8.062143112371274,microsoft/Phi-3.5-mini-instruct
stem_0017,ml,LH,0,1,8.973417049897336,microsoft/Phi-3.5-mini-instruct
stem_0017,ml,HL,1,0,8.810634008548988,microsoft/Phi-3.5-mini-instruct
stem_0017,ml,HH,1,1,8.996749968583972,microsoft/Phi-3.5-mini-instruct
stem_0021,ml,LL,0,0,8.390643897190358,microsoft/Phi-3.5-mini-instruct
stem_0021,ml,LH,0,1,8.973365003250889,microsoft/Phi-3.5-mini-instruct
stem_0021,ml,HL,1,0,8.86088498646842,microsoft/Phi-3.5-mini-instruct
stem_0021,ml,HH,1,1,8.989774886881824,microsoft/Phi-3.5-mini-instruct
stem_0023,ml,LL,0,0,8.843989258713378,microsoft/Phi-3.5-mini-instruct
stem_0023,ml,LH,0,1,8.99026900119241,microsoft/Phi-3.5-mini-instruct
stem_0023,ml,HL,1,0,8.755486906341503,microsoft/Phi-3.5-mini-instruct
stem_0023,ml,HH,1,1,8.995680924622746,microsoft/Phi-3.5-mini-instruct
stem_0024,ml,LL,0,0,8.607137978531341,microsoft/Phi-3.5-mini-instruct
stem_0024,ml,LH,0,1,8.99140402197676,microsoft/Phi-3.5-mini-instruct
stem_0024,ml,HL,1,0,8.7432743338195,microsoft/Phi-3.5-mini-instruct
stem_0024,ml,HH,1,1,8.9965148483878,microsoft/Phi-3.5-mini-instruct
stem_0025,ml,LL,0,0,8.070169615006307,microsoft/Phi-3.5-mini-instruct
stem_0025,ml,LH,0,1,7.52582354885817,microsoft/Phi-3.5-mini-instruct
stem_0025,ml,HL,1,0,8.421515093282125,microsoft/Phi-3.5-mini-instruct
stem_0025,ml,HH,1,1,8.913257947401917,microsoft/Phi-3.5-mini-instruct
stem_0026,ml,LL,0,0,8.649162633926153,microsoft/Phi-3.5-mini-instruct
stem_0026,ml,LH,0,1,8.973524357313067,microsoft/Phi-3.5-mini-instruct
stem_0026,ml,HL,1,0,8.613898031284407,microsoft/Phi-3.5-mini-instruct
stem_0026,ml,HH,1,1,8.992272452512509,microsoft/Phi-3.5-mini-instruct
stem_0027,ml,LL,0,0,5.919831009348854,microsoft/Phi-3.5-mini-instruct
stem_0027,ml,LH,0,1,8.886431083759817,microsoft/Phi-3.5-mini-instruct
stem_0027,ml,HL,1,0,8.683228544950907,microsoft/Phi-3.5-mini-instruct
stem_0027,ml,HH,1,1,8.964118141180336,microsoft/Phi-3.5-mini-instruct
stem_0028,ml,LL,0,0,7.198568017780303,microsoft/Phi-3.5-mini-instruct
stem_0028,ml,LH,0,1,8.938909652488924,microsoft/Phi-3.5-mini-instruct
stem_0028,ml,HL,1,0,8.715163423331393,microsoft/Phi-3.5-mini-instruct
stem_0028,ml,HH,1,1,8.991815620453224,microsoft/Phi-3.5-mini-instruct
stem_0029,ml,LL,0,0,8.09212349902254,microsoft/Phi-3.5-mini-instruct
stem_0029,ml,LH,0,1,8.969815327920035,microsoft/Phi-3.5-mini-instruct
stem_0029,ml,HL,1,0,7.717123612063688,microsoft/Phi-3.5-mini-instruct
stem_0029,ml,HH,1,1,8.905856327322567,microsoft/Phi-3.5-mini-instruct
stem_0030,ml,LL,0,0,4.857295644877013,microsoft/Phi-3.5-mini-instruct
stem_0030,ml,LH,0,1,8.981505166422039,microsoft/Phi-3.5-mini-instruct
stem_0030,ml,HL,1,0,8.768532559552114,microsoft/Phi-3.5-mini-instruct
stem_0030,ml,HH,1,1,8.974222504054978,microsoft/Phi-3.5-mini-instruct
stem_0033,ml,LL,0,0,7.359355444670655,microsoft/Phi-3.5-mini-instruct
stem_0033,ml,LH,0,1,8.967468708468488,microsoft/Phi-3.5-mini-instruct
stem_0033,ml,HL,1,0,8.528712867980786,microsoft/Phi-3.5-mini-instruct
stem_0033,ml,HH,1,1,8.943956594064943,microsoft/Phi-3.5-mini-instruct
stem_0035,ml,LL,0,0,8.556349104037508,microsoft/Phi-3.5-mini-instruct
stem_0035,ml,LH,0,1,8.990934594902,microsoft/Phi-3.5-mini-instruct
stem_0035,ml,HL,1,0,8.947181163281321,microsoft/Phi-3.5-mini-instruct
stem_0035,ml,HH,1,1,8.996057439419188,microsoft/Phi-3.5-mini-instruct
stem_0037,ml,LL,0,0,8.928937927509423,microsoft/Phi-3.5-mini-instruct
stem_0037,ml,LH,0,1,8.998722306527537,microsoft/Phi-3.5-mini-instruct
stem_0037,ml,HL,1,0,8.986681524168755,microsoft/Phi-3.5-mini-instruct
stem_0037,ml,HH,1,1,8.998492721416829,microsoft/Phi-3.5-mini-instruct
stem_0038,ml,LL,0,0,8.759218174485568,microsoft/Phi-3.5-mini-instruct
stem_0038,ml,LH,0,1,8.429640811198624,microsoft/Phi-3.5-mini-instruct
stem_0038,ml,HL,1,0,8.73821695513162,microsoft/Phi-3.5-mini-instruct
stem_0038,ml,HH,1,1,8.915353017565621,microsoft/Phi-3.5-mini-instruct
stem_0040,ml,LL,0,0,8.95943375366258,microsoft/Phi-3.5-mini-instruct
stem_0040,ml,LH,0,1,8.99546861055789,microsoft/Phi-3.5-mini-instruct
stem_0040,ml,HL,1,0,8.755829697678621,microsoft/Phi-3.5-mini-instruct
stem_0040,ml,HH,1,1,8.949636143544751,microsoft/Phi-3.5-mini-instruct
stem_0041,ml,LL,0,0,8.76704183699917,microsoft/Phi-3.5-mini-instruct
stem_0041,ml,LH,0,1,8.985301184222266,microsoft/Phi-3.5-mini-instruct
stem_0041,ml,HL,1,0,8.927549085009275,microsoft/Phi-3.5-mini-instruct
stem_0041,ml,HH,1,1,8.998037542743837,microsoft/Phi-3.5-mini-instruct
stem_0042,ml,LL,0,0,8.63082856716477,microsoft/Phi-3.5-mini-instruct
stem_0042,ml,LH,0,1,8.943395387310375,microsoft/Phi-3.5-mini-instruct
stem_0042,ml,HL,1,0,8.963944230071775,microsoft/Phi-3.5-mini-instruct
stem_0042,ml,HH,1,1,8.997772654731111,microsoft/Phi-3.5-mini-instruct
stem_0045,ml,LL,0,0,7.360168647225578,microsoft/Phi-3.5-mini-instruct
stem_0045,ml,LH,0,1,8.641847336386718,microsoft/Phi-3.5-mini-instruct
stem_0045,ml,HL,1,0,8.824501991427383,microsoft/Phi-3.5-mini-instruct
stem_0045,ml,HH,1,1,8.986323394411471,microsoft/Phi-3.5-mini-instruct
stem_0047,ml,LL,0,0,8.106182775660727,microsoft/Phi-3.5-mini-instruct
stem_0047,ml,LH,0,1,8.959173828558335,microsoft/Phi-3.5-mini-instruct
stem_0047,ml,HL,1,0,8.760882467402553,microsoft/Phi-3.5-mini-instruct
stem_0047,ml,HH,1,1,8.997924328888114,microsoft/Phi-3.5-mini-instruct
stem_0048,ml,LL,0,0,8.703486364211528,microsoft/Phi-3.5-mini-instruct
stem_0048,ml,LH,0,1,8.998405560799883,microsoft/Phi-3.5-mini-instruct
stem_0048,ml,HL,1,0,5.896315573249012,microsoft/Phi-3.5-mini-instruct
stem_0048,ml,HH,1,1,8.995343677536312,microsoft/Phi-3.5-mini-instruct
stem_0050,ml,LL,0,0,8.899794045563139,microsoft/Phi-3.5-mini-instruct
stem_0050,ml,LH,0,1,8.994736600877438,microsoft/Phi-3.5-mini-instruct
stem_0050,ml,HL,1,0,8.908090370766864,microsoft/Phi-3.5-mini-instruct
stem_0050,ml,HH,1,1,8.99786942163243,microsoft/Phi-3.5-mini-instruct
stem_0051,ml,LL,0,0,8.041789144623635,microsoft/Phi-3.5-mini-instruct
stem_0051,ml,LH,0,1,8.882718982626898,microsoft/Phi-3.5-mini-instruct
stem_0051,ml,HL,1,0,6.740309615939623,microsoft/Phi-3.5-mini-instruct
stem_0051,ml,HH,1,1,8.974053177872548,microsoft/Phi-3.5-mini-instruct
stem_0052,ml,LL,0,0,8.516683172345438,microsoft/Phi-3.5-mini-instruct
stem_0052,ml,LH,0,1,8.998132581068065,microsoft/Phi-3.5-mini-instruct
stem_0052,ml,HL,1,0,8.774461168995913,microsoft/Phi-3.5-mini-instruct
stem_0052,ml,HH,1,1,8.997315171020938,microsoft/Phi-3.5-mini-instruct
stem_0054,ml,LL,0,0,7.823117731034472,microsoft/Phi-3.5-mini-instruct
stem_0054,ml,LH,0,1,8.958154227846265,microsoft/Phi-3.5-mini-instruct
stem_0054,ml,HL,1,0,8.720714048234925,microsoft/Phi-3.5-mini-instruct
stem_0054,ml,HH,1,1,8.9988782013112,microsoft/Phi-3.5-mini-instruct
stem_0055,ml,LL,0,0,6.816313852992607,microsoft/Phi-3.5-mini-instruct
stem_0055,ml,LH,0,1,8.811075205379893,microsoft/Phi-3.5-mini-instruct
stem_0055,ml,HL,1,0,8.614169907566975,microsoft/Phi-3.5-mini-instruct
stem_0055,ml,HH,1,1,8.983637553578035,microsoft/Phi-3.5-mini-instruct
stem_0056,ml,LL,0,0,8.526262685508755,microsoft/Phi-3.5-mini-instruct
stem_0056,ml,LH,0,1,8.984242165212107,microsoft/Phi-3.5-mini-instruct
stem_0056,ml,HL,1,0,8.714524369582136,microsoft/Phi-3.5-mini-instruct
stem_0056,ml,HH,1,1,8.99255272678538,microsoft/Phi-3.5-mini-instruct
stem_0057,ml,LL,0,0,8.274228840597516,microsoft/Phi-3.5-mini-instruct
stem_0057,ml,LH,0,1,8.990219148962858,microsoft/Phi-3.5-mini-instruct
stem_0057,ml,HL,1,0,8.559998942918128,microsoft/Phi-3.5-mini-instruct
stem_0057,ml,HH,1,1,8.992785003817103,microsoft/Phi-3.5-mini-instruct
stem_0058,ml,LL,0,0,7.338457315389405,microsoft/Phi-3.5-mini-instruct
stem_0058,ml,LH,0,1,8.97369118737052,microsoft/Phi-3.5-mini-instruct
stem_0058,ml,HL,1,0,8.863724140726617,microsoft/Phi-3.5-mini-instruct
stem_0058,ml,HH,1,1,8.991069092768385,microsoft/Phi-3.5-mini-instruct
stem_0059,ml,LL,0,0,8.80661696037258,microsoft/Phi-3.5-mini-instruct
stem_0059,ml,LH,0,1,8.995645254604648,microsoft/Phi-3.5-mini-instruct
stem_0059,ml,HL,1,0,8.753244585697956,microsoft/Phi-3.5-mini-instruct
stem_0059,ml,HH,1,1,8.994804411613957,microsoft/Phi-3.5-mini-instruct
stem_0063,ml,LL,0,0,8.483913268701599,microsoft/Phi-3.5-mini-instruct
stem_0063,ml,LH,0,1,8.978326396699277,microsoft/Phi-3.5-mini-instruct
stem_0063,ml,HL,1,0,7.940436313228929,microsoft/Phi-3.5-mini-instruct
stem_0063,ml,HH,1,1,8.993003009875878,microsoft/Phi-3.5-mini-instruct
stem_0064,ml,LL,0,0,8.859280709171149,microsoft/Phi-3.5-mini-instruct
stem_0064,ml,LH,0,1,8.972238680315318,microsoft/Phi-3.5-mini-instruct
stem_0064,ml,HL,1,0,8.887075135697955,microsoft/Phi-3.5-mini-instruct
stem_0064,ml,HH,1,1,8.995582384177983,microsoft/Phi-3.5-mini-instruct
stem_0066,ml,LL,0,0,7.932150974905653,microsoft/Phi-3.5-mini-instruct
stem_0066,ml,LH,0,1,8.96991513068172,microsoft/Phi-3.5-mini-instruct
stem_0066,ml,HL,1,0,8.908086391379655,microsoft/Phi-3.5-mini-instruct
stem_0066,ml,HH,1,1,8.999159932605869,microsoft/Phi-3.5-mini-instruct
stem_0068,ml,LL,0,0,7.96772369653786,microsoft/Phi-3.5-mini-instruct
stem_0068,ml,LH,0,1,8.880047758593236,microsoft/Phi-3.5-mini-instruct
stem_0068,ml,HL,1,0,8.837726753668335,microsoft/Phi-3.5-mini-instruct
stem_0068,ml,HH,1,1,8.947479406296438,microsoft/Phi-3.5-mini-instruct
stem_0069,ml,LL,0,0,8.732548944347627,microsoft/Phi-3.5-mini-instruct
stem_0069,ml,LH,0,1,8.95964130516613,microsoft/Phi-3.5-mini-instruct
stem_0069,ml,HL,1,0,8.833256149722729,microsoft/Phi-3.5-mini-instruct
stem_0069,ml,HH,1,1,8.994042941021558,microsoft/Phi-3.5-mini-instruct
stem_0070,ml,LL,0,0,8.073017466871534,microsoft/Phi-3.5-mini-instruct
stem_0070,ml,LH,0,1,8.804617508829324,microsoft/Phi-3.5-mini-instruct
stem_0070,ml,HL,1,0,8.913220221046913,microsoft/Phi-3.5-mini-instruct
stem_0070,ml,HH,1,1,8.988069420259269,microsoft/Phi-3.5-mini-instruct
stem_0071,ml,LL,0,0,8.6851487212191,microsoft/Phi-3.5-mini-instruct
stem_0071,ml,LH,0,1,8.977032290952106,microsoft/Phi-3.5-mini-instruct
stem_0071,ml,HL,1,0,8.812029675036207,microsoft/Phi-3.5-mini-instruct
stem_0071,ml,HH,1,1,8.992821214661353,microsoft/Phi-3.5-mini-instruct
stem_0073,ml,LL,0,0,7.606579163729066,microsoft/Phi-3.5-mini-instruct
stem_0073,ml,LH,0,1,8.994543400862803,microsoft/Phi-3.5-mini-instruct
stem_0073,ml,HL,1,0,8.842183748423707,microsoft/Phi-3.5-mini-instruct
stem_0073,ml,HH,1,1,8.984556180052458,microsoft/Phi-3.5-mini-instruct
stem_0074,ml,LL,0,0,8.823128381895856,microsoft/Phi-3.5-mini-instruct
stem_0074,ml,LH,0,1,8.943504495019226,microsoft/Phi-3.5-mini-instruct
stem_0074,ml,HL,1,0,8.885196585277754,microsoft/Phi-3.5-mini-instruct
stem_0074,ml,HH,1,1,8.970957798759912,microsoft/Phi-3.5-mini-instruct
stem_0075,ml,LL,0,0,8.895035910593833,microsoft/Phi-3.5-mini-instruct
stem_0075,ml,LH,0,1,8.99737363998526,microsoft/Phi-3.5-mini-instruct
stem_0075,ml,HL,1,0,8.148659476242187,microsoft/Phi-3.5-mini-instruct
stem_0075,ml,HH,1,1,8.892979963009765,microsoft/Phi-3.5-mini-instruct
stem_0076,ml,LL,0,0,8.573171337890017,microsoft/Phi-3.5-mini-instruct
stem_0076,ml,LH,0,1,8.99559215944175,microsoft/Phi-3.5-mini-instruct
stem_0076,ml,HL,1,0,8.705841399982432,microsoft/Phi-3.5-mini-instruct
stem_0076,ml,HH,1,1,8.998250306855155,microsoft/Phi-3.5-mini-instruct
stem_0078,ml,LL,0,0,8.827629063140193,microsoft/Phi-3.5-mini-instruct
stem_0078,ml,LH,0,1,8.99246555551666,microsoft/Phi-3.5-mini-instruct
stem_0078,ml,HL,1,0,7.089299761049915,microsoft/Phi-3.5-mini-instruct
stem_0078,ml,HH,1,1,8.96804434239857,microsoft/Phi-3.5-mini-instruct
stem_0079,ml,LL,0,0,6.842635213590256,microsoft/Phi-3.5-mini-instruct
stem_0079,ml,LH,0,1,8.836342289278349,microsoft/Phi-3.5-mini-instruct
stem_0079,ml,HL,1,0,8.73615553819397,microsoft/Phi-3.5-mini-instruct
stem_0079,ml,HH,1,1,8.993633140488853,microsoft/Phi-3.5-mini-instruct
stem_0080,ml,LL,0,0,6.59835806414776,microsoft/Phi-3.5-mini-instruct
stem_0080,ml,LH,0,1,8.9767347237115,microsoft/Phi-3.5-mini-instruct
stem_0080,ml,HL,1,0,8.257216365732745,microsoft/Phi-3.5-mini-instruct
stem_0080,ml,HH,1,1,8.980545254044435,microsoft/Phi-3.5-mini-instruct
stem_0082,ml,LL,0,0,8.64319856753798,microsoft/Phi-3.5-mini-instruct
stem_0082,ml,LH,0,1,8.954237999468234,microsoft/Phi-3.5-mini-instruct
stem_0082,ml,HL,1,0,7.921572593855672,microsoft/Phi-3.5-mini-instruct
stem_0082,ml,HH,1,1,8.446381718361408,microsoft/Phi-3.5-mini-instruct
stem_0084,ml,LL,0,0,7.235020214052383,microsoft/Phi-3.5-mini-instruct
stem_0084,ml,LH,0,1,8.802988031817279,microsoft/Phi-3.5-mini-instruct
stem_0084,ml,HL,1,0,8.647020532423767,microsoft/Phi-3.5-mini-instruct
stem_0084,ml,HH,1,1,8.99136094388583,microsoft/Phi-3.5-mini-instruct
stem_0085,ml,LL,0,0,8.750733343503299,microsoft/Phi-3.5-mini-instruct
stem_0085,ml,LH,0,1,8.990775928887405,microsoft/Phi-3.5-mini-instruct
stem_0085,ml,HL,1,0,8.676266769475177,microsoft/Phi-3.5-mini-instruct
stem_0085,ml,HH,1,1,8.996673319362959,microsoft/Phi-3.5-mini-instruct
stem_0087,ml,LL,0,0,8.041885015860316,microsoft/Phi-3.5-mini-instruct
stem_0087,ml,LH,0,1,8.917533187038089,microsoft/Phi-3.5-mini-instruct
stem_0087,ml,HL,1,0,8.948774398014798,microsoft/Phi-3.5-mini-instruct
stem_0087,ml,HH,1,1,8.994771428157586,microsoft/Phi-3.5-mini-instruct
stem_0089,ml,LL,0,0,8.658603642035928,microsoft/Phi-3.5-mini-instruct
stem_0089,ml,LH,0,1,8.968341923781402,microsoft/Phi-3.5-mini-instruct
stem_0089,ml,HL,1,0,8.667681587750849,microsoft/Phi-3.5-mini-instruct
stem_0089,ml,HH,1,1,8.880523191493921,microsoft/Phi-3.5-mini-instruct
stem_0090,ml,LL,0,0,8.683758621486064,microsoft/Phi-3.5-mini-instruct
stem_0090,ml,LH,0,1,8.926013978951758,microsoft/Phi-3.5-mini-instruct
stem_0090,ml,HL,1,0,8.898076640213802,microsoft/Phi-3.5-mini-instruct
stem_0090,ml,HH,1,1,8.993057243881664,microsoft/Phi-3.5-mini-instruct
stem_0091,ml,LL,0,0,7.764132648750092,microsoft/Phi-3.5-mini-instruct
stem_0091,ml,LH,0,1,8.442587942932732,microsoft/Phi-3.5-mini-instruct
stem_0091,ml,HL,1,0,8.05419967096168,microsoft/Phi-3.5-mini-instruct
stem_0091,ml,HH,1,1,8.910883270536942,microsoft/Phi-3.5-mini-instruct
stem_0092,econ,LL,0,0,8.775795375847338,microsoft/Phi-3.5-mini-instruct
stem_0092,econ,LH,0,1,8.961342736432357,microsoft/Phi-3.5-mini-instruct
stem_0092,econ,HL,1,0,8.73704967643232,microsoft/Phi-3.5-mini-instruct
stem_0092,econ,HH,1,1,8.973554167254179,microsoft/Phi-3.5-mini-instruct
stem_0093,econ,LL,0,0,7.645811077964936,microsoft/Phi-3.5-mini-instruct
stem_0093,econ,LH,0,1,8.99028959607679,microsoft/Phi-3.5-mini-instruct
stem_0093,econ,HL,1,0,8.025303880755018,microsoft/Phi-3.5-mini-instruct
stem_0093,econ,HH,1,1,8.990695423753998,microsoft/Phi-3.5-mini-instruct
stem_0094,econ,LL,0,0,8.851285006459761,microsoft/Phi-3.5-mini-instruct
stem_0094,econ,LH,0,1,8.98055088938142,microsoft/Phi-3.5-mini-instruct
stem_0094,econ,HL,1,0,8.972530673179953,microsoft/Phi-3.5-mini-instruct
stem_0094,econ,HH,1,1,8.991372424610237,microsoft/Phi-3.5-mini-instruct
stem_0095,econ,LL,0,0,7.654411008070383,microsoft/Phi-3.5-mini-instruct
stem_0095,econ,LH,0,1,8.95144948475896,microsoft/Phi-3.5-mini-instruct
stem_0095,econ,HL,1,0,8.79390855094357,microsoft/Phi-3.5-mini-instruct
stem_0095,econ,HH,1,1,8.998854281395769,microsoft/Phi-3.5-mini-instruct
stem_0096,econ,LL,0,0,7.951270094665233,microsoft/Phi-3.5-mini-instruct
stem_0096,econ,LH,0,1,8.822819964389055,microsoft/Phi-3.5-mini-instruct
stem_0096,econ,HL,1,0,8.889399467400153,microsoft/Phi-3.5-mini-instruct
stem_0096,econ,HH,1,1,8.993218719584474,microsoft/Phi-3.5-mini-instruct
stem_0097,econ,LL,0,0,8.52402295385366,microsoft/Phi-3.5-mini-instruct
stem_0097,econ,LH,0,1,8.964000308663636,microsoft/Phi-3.5-mini-instruct
stem_0097,econ,HL,1,0,8.744716697473123,microsoft/Phi-3.5-mini-instruct
stem_0097,econ,HH,1,1,8.990856421617703,microsoft/Phi-3.5-mini-instruct
stem_0098,econ,LL,0,0,8.942418442495537,microsoft/Phi-3.5-mini-instruct
stem_0098,econ,LH,0,1,8.995541822667079,microsoft/Phi-3.5-mini-instruct
stem_0098,econ,HL,1,0,8.899807303279886,microsoft/Phi-3.5-mini-instruct
stem_0098,econ,HH,1,1,8.993365101561864,microsoft/Phi-3.5-mini-instruct
stem_0100,econ,LL,0,0,8.736408710033146,microsoft/Phi-3.5-mini-instruct
stem_0100,econ,LH,0,1,8.990606038300209,microsoft/Phi-3.5-mini-instruct
stem_0100,econ,HL,1,0,8.964028115719058,microsoft/Phi-3.5-mini-instruct
stem_0100,econ,HH,1,1,8.998184720454676,microsoft/Phi-3.5-mini-instruct
stem_0104,econ,LL,0,0,7.918331088368745,microsoft/Phi-3.5-mini-instruct
stem_0104,econ,LH,0,1,8.966333670020262,microsoft/Phi-3.5-mini-instruct
stem_0104,econ,HL,1,0,8.855207324182885,microsoft/Phi-3.5-mini-instruct
stem_0104,econ,HH,1,1,8.975147963695086,microsoft/Phi-3.5-mini-instruct
stem_0105,econ,LL,0,0,7.848762750567403,microsoft/Phi-3.5-mini-instruct
stem_0105,econ,LH,0,1,8.94474479847213,microsoft/Phi-3.5-mini-instruct
stem_0105,econ,HL,1,0,8.993708338494354,microsoft/Phi-3.5-mini-instruct
stem_0105,econ,HH,1,1,8.999111931617833,microsoft/Phi-3.5-mini-instruct
stem_0106,econ,LL,0,0,7.9762281413823075,microsoft/Phi-3.5-mini-instruct
stem_0106,econ,LH,0,1,8.922456193344715,microsoft/Phi-3.5-mini-instruct
stem_0106,econ,HL,1,0,8.586724938932612,microsoft/Phi-3.5-mini-instruct
stem_0106,econ,HH,1,1,8.978166438234284,microsoft/Phi-3.5-mini-instruct
stem_0108,econ,LL,0,0,8.08392296393049,microsoft/Phi-3.5-mini-instruct
stem_0108,econ,LH,0,1,8.932975368129348,microsoft/Phi-3.5-mini-instruct
stem_0108,econ,HL,1,0,8.878919972098885,microsoft/Phi-3.5-mini-instruct
stem_0108,econ,HH,1,1,8.999252481948425,microsoft/Phi-3.5-mini-instruct
stem_0109,econ,LL,0,0,8.047088657302083,microsoft/Phi-3.5-mini-instruct
stem_0109,econ,LH,0,1,8.962316885582894,microsoft/Phi-3.5-mini-instruct
stem_0109,econ,HL,1,0,8.777014339885682,microsoft/Phi-3.5-mini-instruct
stem_0109,econ,HH,1,1,8.999026739664501,microsoft/Phi-3.5-mini-instruct
stem_0110,econ,LL,0,0,8.814886072643873,microsoft/Phi-3.5-mini-instruct
stem_0110,econ,LH,0,1,8.997947072833131,microsoft/Phi-3.5-mini-instruct
stem_0110,econ,HL,1,0,8.758264801011649,microsoft/Phi-3.5-mini-instruct
stem_0110,econ,HH,1,1,8.996334052863213,microsoft/Phi-3.5-mini-instruct
stem_0111,econ,LL,0,0,8.58769470852394,microsoft/Phi-3.5-mini-instruct
stem_0111,econ,LH,0,1,8.973403517858891,microsoft/Phi-3.5-mini-instruct
stem_0111,econ,HL,1,0,7.727186591347618,microsoft/Phi-3.5-mini-instruct
stem_0111,econ,HH,1,1,8.968340640820525,microsoft/Phi-3.5-mini-instruct
stem_0112,econ,LL,0,0,7.394289559510071,microsoft/Phi-3.5-mini-instruct
stem_0112,econ,LH,0,1,8.971215853228806,microsoft/Phi-3.5-mini-instruct
stem_0112,econ,HL,1,0,8.892035115685303,microsoft/Phi-3.5-mini-instruct
stem_0112,econ,HH,1,1,8.993007413003504,microsoft/Phi-3.5-mini-instruct
stem_0113,econ,LL,0,0,8.781539890635031,microsoft/Phi-3.5-mini-instruct
stem_0113,econ,LH,0,1,8.998514434302978,microsoft/Phi-3.5-mini-instruct
stem_0113,econ,HL,1,0,8.84594159286462,microsoft/Phi-3.5-mini-instruct
stem_0113,econ,HH,1,1,8.996322323896926,microsoft/Phi-3.5-mini-instruct
stem_0114,econ,LL,0,0,8.750468207852009,microsoft/Phi-3.5-mini-instruct
